itstId,itstNm,mapCtptIntLat,mapCtptIntLot
20622,녹천교동측(연등)1,376453063,1270583311
2063,동빙고동,375294537,1269913518
20637,신설동역앞(연등),375744973,127025588
2064,동자동,375511286,1269722147
20643,미아서광빌딩(연등),376231767,1270274346
20644,숭인시장(연등),376132158,1270300703
20648,한성대(연등)1,375907561,1270111831
2065,대림1동공영주차장앞,374932790,1269011983
20659,강서보건소앞(연등),375492626,1268680956
20669,정릉입구(연등),376049273,1270108736
2067,버들약국,375367616,1270004367
20674,신대방삼거리역(연등)1,374997102,1269294786
2068,KT한강로빌딩,375315589,1269701939
20685,신방화사거리(연등)1,375733729,1268180938
20690,잠실현대아파트(연등),375048172,1270864131
20694,GS마트입구(연등),374914736,1271149928
207,롯데캐슬골드파크3차,374618583,1268977849
2070,1.2번정문,375347627,1269807569
20704,서울공업사(연등)1,375341874,1271218243
20706,오금동근린공원(연등),374995500,1271355299
20708,강동구청역(연등),375305991,1271210970
20709,거여동사거리(연등),374964445,1271379087
20710,경찰병원후문(연등),374979794,1271255485
2074,북한남삼거리,375420901,1270023802
20744,길동초교(연등)1,375378810,1271400498
20745,박석고개(연등),376259671,1269201100
20746,북한산래미안(연등),376108495,1269414422
20748,신한은행갈현(연등),376246810,1269199690
2075,삼각지역,375356753,1269740138
20753,화랑교(연등)1,374705601,1269389314
20758,구로전화국(연등),374796348,1269025673
20767,명덕초교입구(연등),375578830,1271445444
20771,효령아파트(연등)1,374801635,1269936174
2078,소화아동병원,375539112,1269690403
20785,관악우림시장(연등),374706778,1269198405
20795,뚝섬역(연등),375497320,1270442518
20799,성내5교(연등),375018177,1271376793
208,덕은교,375909918,1268825995
2080,숙명여대입구,375449147,1269706081
20806,우이시장(연등),376457010,1270188554
2081,숙대입구역7번출구,375433320,1269724952
20812,신한은행방학(연등),376627207,1270361393
20813,방학한화아파트(연등),376621140,1270308460
20815,창문여고(연등)1,376135837,1270379635
20824,뚝섬체육공원,375461311,1270447571
2084,신한은행원효,375359665,1269628310
20846,복선교(연등),376012986,1270226041
2085,용마슈퍼,375406250,1269582694
2086,효창공원앞역,375392990,1269613770
20865,조양시장(연등),375413493,1270664744
2088,용산1호정문,375377260,1269739232
20883,묵2동(연등),376096353,1270779762
20886,염광여상(연등),376261901,1270527494
20894,방학성원아파트(연등)1,376623771,1270331064
209,수색교,375870096,1268872464
2090,용산보건소,375379975,1269663400
2091,용산서,375402185,1269690014
2092,용산역,375272800,1269660279
20922,동곡삼거리(연등),375620897,1270752687
2093,용산우체국,375302620,1269689700
20936,광장사거리(연등),375456712,1271024629
20938,오장동사거리(연등),375656491,1270024434
2094,숙대입구역,375451102,1269720052
2095,원효로2가,375353620,1269616377
2096,원효3가,375342115,1269587720
20961,구로미성아파트(연등),375045438,1268779857
20963,구로구청구의회(연등),374949522,1268881277
20967,동구로초교(연등)1,374916142,1268918606
20968,쌍용자동차서비스(연등),375003049,1268824666
20976,신한은행신월동지점(연등),375188617,1268429704
20980,롯데마트서울역(연등),375549210,1269677557
20985,한성대입구역(연등)1,375876754,1270040161
20996,까치고개(연등),374761830,1269658938
210,수색서광빌딩,375839318,1268918782
2100,이촌역,375224015,1269743851
21007,우리은행암사(연등)1,375547374,1271357137
21014,선사사거리(연등),375547646,1271310546
2102,이태원,375342669,1269902856
21031,개롱근린공원(연등),374924553,1271280727
21037,아시아선수촌정문(연등),375088658,1270790639
2104,전자랜드,375331201,1269615924
21040,신림교입구(연등),374809725,1269301882
21041,관악소방서(연등)1,374735106,1269530964
2105,송원초교,375531778,1270702417
21057,삼성아파트삼거리(연등)1,375429681,1271013142
2106,전자상가입구,375295330,1269682406
21062,광산사거리(연등),376440142,1270212170
21066,우리은행중화(연등),376064612,1270785712
21068,신내차량기지(연등),376138235,1271013836
21073,서울과학기술대입구(연등),376274800,1270721088
21074,노원자동차검사소(연등),376380718,1270738153
21077,중계역(연등),376470898,1270631375
21089,노해근린공원(연등),376477313,1270700613
21092,강서소방서(연등)1,375582708,1268603932
211,LG베스트샵수색점,375831710,1268936698
21103,동부제강입구(연등),374914021,1268315160
21108,역말사거리(연등)1,376057949,1269145201
2111,철도정비창,375327426,1269575756
21117,관악구청(연등),374780939,1269523002
2112,길동현대병원,375351647,1271389980
21133,양화교밑(연등),375469228,1268793560
2114,한강중교앞,375257062,1269918396
21142,광영여고(연등),375391962,1268222145
21147,강서구청(연등)1,375521738,1268499765
21149,신월초교입구(연등),375409405,1268378225
21156,양강중(연등)1,375242669,1268517987
21159,광남중고교입구(연등),375381399,1270970826
21165,먹골역(연등)1,376120878,1270778373
21168,길음역(연등)1,376039261,1270247340
2117,한남오거리,375333663,1270076873
21172,공릉역(연등)1,376259341,1270728598
21174,창원초교(연등)1,376522650,1270413931
21179,우장산역(연등),375494900,1268363497
2118,한남역,375286140,1270067786
21181,불암지구대(연등),376533966,1270781724
21183,서초푸르지오써밋(연등)1,375012419,1270222016
21188,녹번초교(연등),376047855,1269242719
21190,방화사거리(연등),375732068,1268101633
21192,거리공원오거리(연등),374978582,1268938699
21194,수동물병원(연등)1,374995088,1268875333
21195,계남공원(연등),375102766,1268590050
21198,한국환경산업기술원(연등),376096744,1269354203
212,수색역,375821709,1268954205
21201,대림부동산(연등),374852500,1269374479
21202,병천순대(연등)1,374836171,1269411260
21203,진광공업사(연등),374825329,1269492382
21213,장지IC하향(연등),374700350,1271245302
21217,역촌시장(연등),376129354,1269140000
21219,홍대역2번출구(연등),375572065,1269242219
21231,유수지주차장(연등),375822808,1270838505
2124,이태원역,375344945,1269939158
21250,신월사거리(연등),375371441,1268274930
21251,목동812동(연등),375207670,1268686350
21260,대창빌딩(연등),375538630,1268164989
21264,대륭포스트타워(연등),374853370,1268972902
21267,장석시장(연등),376154649,1270580830
21269,면목한신아파트(연등)1,375856743,1270753053
21277,낙성대역앞(연등),374770490,1269636648
21283,제일제당앞(연등),375004043,1268759525
2129,잠실대교남단삼거리,375159572,1270981093
213,수색디지털프라자,375808112,1268976958
2130,잠실역,375132353,1271000922
21303,구로소방서(연등),374977441,1268646923
21311,대림우성아파트(연등),374954413,1269114992
21313,사육신공원(연등),375128022,1269494858
21316,기아대교앞(연등),374382008,1269031535
2132,석촌호수,375087225,1271039715
21324,기상청입구(연등),374969717,1269164402
2133,석촌역,375052298,1271071752
2134,송파사거리,375019728,1271101152
2135,가락시장동문,374946294,1271168205
2136,가락시장역,374925242,1271187249
21365,방화초교(연등),375678032,1268091342
2137,올림픽훼밀리타운,374887568,1271210399
21375,서초롯데캐슬아파트(연등),374999125,1270228049
2138,문정역,374860714,1271224164
2139,건영아파트앞,374825350,1271242302
214,수색E마트앞,375795337,1268998951
